market,ticker,price,years_from,years_to,years_count,total_years,dividend_count,dividend_sum,dividend_min,dividend_max,annual_payout,yield_min,yield_max,yield_avg,fair_price_min,fair_price_max,fair_price_avg,price_score_min,price_score_max,price_score_avg
TLN,SFG1T,1.01,2015,2019,5,5,7,1.25,0.1,0.3,0.25,9.9,29.7,24.75,1.67,5,4.17,1,1,1
VLN,SNG1L,0.118,2017,2017,1,1,1,0.02,0.02,0.02,0.02,16.95,16.95,16.95,0.33,0.33,0.33,1,1,1
TLN,TAL1T,0.521,2015,2019,5,5,5,0.15,0.02,0.05,0.03,3.84,9.6,5.76,0.33,0.83,0.5,0,1,0
VLN,TEL1L,1.935,2015,2022,8,8,8,0.55,0.01,0.1,0.07,0.52,5.17,3.55,0.17,1.67,1.17,0,0,0
TLN,TKM1T,9.65,2015,2022,8,8,8,4.96,0.4,0.73,0.62,4.15,7.56,6.42,6.67,12.17,10.33,0,1,1
TLN,TPD1T,0.88,2022,2022,1,1,2,0.16,0.03,0.13,0.16,3.41,14.77,18.18,0.5,2.17,2.67,0,1,1
TLN,TSM1T,1.442,2019,2022,4,4,4,0.43,0.08,0.13,0.11,5.55,9.02,7.45,1.33,2.17,1.83,0,1,1
TLN,TVE1T,12.5,2022,2022,1,1,1,0.65,0.65,0.65,0.65,5.2,5.2,5.2,10.83,10.83,10.83,0,0,0
VLN,UTR1L,0.67,2019,2019,1,1,1,0.1,0.1,0.1,0.1,14.93,14.93,14.93,1.67,1.67,1.67,1,1,1
VLN,VBL1L,7.6,2015,2019,5,4,4,1.62,0.08,1,0.41,1.05,13.16,5.33,1.33,0,6.83,0,0,0
RIG,VIRSI,4.36,2022,2022,1,1,1,0.07,0.07,0.07,0.07,1.61,1.61,1.61,1.17,1.17,1.17,0,0,0
VLN,VLP1L,4.72,2015,2022,8,5,5,0.61,0.07,0.2,0.12,1.48,4.24,2.58,1.17,3.33,2,0,0,0
VLN,ZMP1L,1.81,2016,2019,4,4,4,0.45,0.08,0.15,0.11,4.42,8.29,6.22,1.33,2.5,1.83,0,1,1
